1,1263,2,3
1,1371,2.5,3
1,1953,4,3
1,2455,2.5,2
2,10,4,3
2,17,5,3
2,153,4,3
2,161,3,3
2,253,4,3
2,265,5,3
2,266,5,3
2,272,3,3
2,314,4,3
2,377,3,3
2,410,3,3
2,474,2,3
2,550,3,3
2,616,3,4
2,720,4,4
3,60,3,4
3,355,2.5,4
3,377,2.5,4
3,1197,5,4
3,1210,3,4
3,2858,4,4
3,5349,3,4
3,6377,3,4
3,8636,3,4
3,50068,4.5,4
4,34,5,4
4,141,5,4
4,296,5,5
4,431,3,4
4,464,4,4
4,541,5,4
4,1073,5,4
4,1097,5,4
4,1127,5,4
4,1196,5,4
4,1197,5,4
4,1214,5,4
4,1220,5,4
4,1230,5,4
4,1278,5,4
4,1282,5,4
4,1285,4,4
4,1332,4,4
4,1334,5,4
4,1376,3,4
4,1380,5,5
4,1388,4,4
4,1858,5,4
4,1953,5,4
4,1954,5,4
4,2002,3,4
4,2094,4,4
4,2105,4,5
4,2124,4,4
4,2144,5,4
4,2161,5,4
4,2174,5,4
4,2193,3,4
4,2409,4,4
4,2467,5,4
4,2628,5,4
4,2699,4,4
4,2734,4,4
4,2770,1,4
4,2791,5,4
4,2804,5,4
5,3,4,4
5,858,2.5,4
5,903,3.5,4
5,919,4,4
5,1247,4,4
5,1544,3.5,4
5,1784,4.5,4
5,1961,4,4
5,1968,4,4
5,2273,4,4
5,2294,4,4
5,2706,4,4
5,3176,3.5,4
5,3948,3.5,4
5,4306,3.5,4
5,5669,3.5,4
5,6377,4,4
5,30749,4.5,4
5,33166,5,4
5,48385,4.5,4
6,158,2,3
6,1204,5,3
6,1909,3,3
6,2761,4.5,3
6,3300,3.5,3
6,4641,1.5,3
6,7090,3,3
6,8636,4,4
6,8784,3,3
7,10,3,3
7,21,3,3
7,333,3,3
7,355,3,3
7,367,3,3
7,541,4,3
7,590,4,4
7,592,3,4
7,595,3,3
7,780,3,3
7,1148,5,3
7,1198,5,4
7,1240,4,4
7,1278,3,3
7,1298,3,3
7,1353,3,3
7,1374,4,3
7,1376,3,3
8,50,5,4
8,527,5,4
8,628,4,4
8,858,5,4
8,1197,4,4
8,1500,4,4
8,1674,4,4
8,2100,3,4
8,2302,4.5,4
8,2324,4,4
8,2329,5,4
8,2571,5,3
8,2791,4.5,4
8,2804,3.5,4
8,2959,4,4
8,4262,4,4
8,4886,3.5,4
8,5445,4.5,4
8,5630,4,4
8,6377,4,4
8,6874,5,4
8,33166,4.5,4
8,33493,4.5,4
9,26,3,4
9,593,4,3
9,1059,5,4
9,1357,4,4
9,1584,4,4
9,1784,5,4
9,2268,3,4
9,2391,4,4
9,2762,4,4
10,50,5,4
10,1210,4,4
10,1240,4,4
10,2344,5,4
10,2539,4,4
10,2890,4,4
10,2907,2,4
10,2995,2,4
10,3005,3,4
11,126,4,4
11,169,3,4
11,26614,5,4
11,48516,5,4
11,81562,3.5,4
11,88129,4,4
11,104841,5,4
11,106487,5,4
12,253,3,3
12,673,1,3
12,1295,1,3
12,1374,1,3
12,2259,2,3
12,2355,2,3
12,3179,2,3
12,3770,3,3
12,3773,2,3
12,3798,4,3
12,3861,3,3
12,3869,2,3
13,47,2.5,4
13,362,4.5,4
13,587,3,4
13,914,4,4
13,2572,3.5,4
13,4306,4,4
